"","CU_NAME","FULL_CU_IN"
"1","Osoyoos","SEL-01-01"
"2","Chilliwack-Early Summer Timing","SEL-03-01"
"3","Cultus-Late Timing","SEL-03-02"
"4","Harrison-Downstream Migrating-Late Timing","SEL-03-03"
"5","Harrison-Upstream Migrating-Late Timing","SEL-03-04"
"6","Pitt-Early Summer Timing","SEL-03-05"
"7","Lillooet/Harrison-Late Timing","SEL-04-01"
"8","Nahatlatch-Early Summer Timing","SEL-05-02"
"9","Anderson/Seton-Early Summer Timing","SEL-06-01"
"10","Chilko-Early Summer Timing","SEL-06-02"
"11","Chilko-Summer Timing","SEL-06-03"
"12","Francois/Fraser-Summer Timing","SEL-06-07"
"13","Quesnel-Summer Timing","SEL-06-10"
"14","Seton-Late Timing","SEL-06-11"
"15","Takla/Trembleur/Stuart-Summer Timing","SEL-06-13"
"16","Takla/Trembleur-Early Stuart Timing","SEL-06-14"
"17","Taseko-Early Summer Timing","SEL-06-16"
"18","Nadina/Francois-Early Summer Timing","SEL-06-20"
"19","Bowron-Early Summer Timing","SEL-07-01"
"20","Shuswap Complex-Early Summer Timing","SEL-09-02"
"21","Shuswap Complex-Late Timing","SEL-09-03"
"22","(p)Adams and Momich Lakes-Early Summer Timing","SEL-09-xx"
"23","Kamloops-Early Summer Timing","SEL-10-01"
"24","North Barriere-Early Summer Timing","SEL-10-03"
"25","Kakweiken","SEL-11-03"
"26","Loose","SEL-11-04"
"27","Phillips","SEL-11-06"
"28","Tzoonie","SEL-11-09"
"29","Nahwitti","SEL-12-02"
"30","Nimpkish","SEL-12-03"
"31","Vernon","SEL-12-09"
"32","Alice","SEL-13-01"
"33","Cecilia","SEL-13-03"
"34","Deserted","SEL-13-06"
"35","Fairy","SEL-13-07"
"36","Jansen","SEL-13-12"
"37","Kanim","SEL-13-13"
"38","Kennedy","SEL-13-14"
"39","Muchalat","SEL-13-17"
"40","Muriel","SEL-13-18"
"41","Nitinat","SEL-13-19"
"42","Park River","SEL-13-22"
"43","Sproat","SEL-13-25"
"44","Owikeno","SEL-15-02"
"45","Owikeno-Late Timing","SEL-15-03"
"46","South Atnarko Lakes","SEL-16-01"
"47","Fairfax","SEL-17-03"
"48","Yakoun","SEL-17-09"
"49","Canoona","SEL-18-02"
"50","Evelyn","SEL-18-04"
"51","Kimsquit","SEL-18-06"
"52","Kitlope","SEL-18-08"
"53","Pine River","SEL-18-09"
"54","Bolton Creek","SEL-19-03"
"55","Fannie Cove","SEL-19-10"
"56","Curtis Inlet","SEL-19-11"
"57","Devon","SEL-19-14"
"58","Elsie/Hoy","SEL-19-17"
"59","End Hill Creek","SEL-19-18"
"60","Higgins Lagoon","SEL-19-23"
"61","Kent Inlet Lagoon Creek","SEL-19-27"
"62","Kildidt Lagoon Creek","SEL-19-31"
"63","Koeye","SEL-19-33"
"64","Kwakwa Creek","SEL-19-36"
"65","Mary Cove Creek","SEL-19-40"
"66","Port John","SEL-19-46"
"67","Spencer Creek","SEL-19-57"
"68","Talamoosa Creek","SEL-19-59"
"69","Tuno Creek West","SEL-19-64"
"70","Alastair","SEL-20-01"
"71","Aldrich","SEL-20-02"
"72","Dennis","SEL-20-03"
"73","Ecstall/Lower","SEL-20-04"
"74","Kitsumkalum","SEL-20-06"
"75","Mcdonell","SEL-20-08"
"76","Babine","SEL-21-02"
"77","Tahlo/Morrison","SEL-21-11"
"78","Azuklotz","SEL-22-02"
"79","Damshilgwit","SEL-22-04"
"80","Kluayaz","SEL-22-07"
"81","Sicintine","SEL-22-09"
"82","Slamgeesh","SEL-22-10"
"83","Bowser","SEL-24-01"
"84","Damdochax/Winimasik","SEL-24-02"
"85","Fred Wright","SEL-24-03"
"86","Kwinageese","SEL-24-04"
"87","Meziadin","SEL-24-05"
"88","Border","SEL-25-01"
"89","Tahltan","SEL-26-02"
"90","Chutine","SEL-26-03"
"91","Whiting","SEL-27-01"
"92","Little Trapper","SEL-28-02"
"93","Tatsamenie","SEL-28-03"
"94","Fulmore","SEL-11-01"
"95","Heydon","SEL-11-02"
"96","Mackenzie","SEL-11-05"
"97","Sakinaw","SEL-11-07"
"98","Village Bay","SEL-11-10"
"99","Ida/Bonanza","SEL-12-01"
"100","Quatse","SEL-12-05"
"101","Schoen","SEL-12-06"
"102","Shushartie","SEL-12-07"
"103","Woss","SEL-12-08"
"104","Canoe Creek","SEL-13-02"
"105","Cheewat","SEL-13-04"
"106","Clayoquot","SEL-13-05"
"107","Great Central","SEL-13-08"
"108","Henderson","SEL-13-09"
"109","Hesquiat","SEL-13-10"
"110","Hobiton","SEL-13-11"
"111","Maggie","SEL-13-15"
"112","Megin","SEL-13-16"
"113","O'connell","SEL-13-20"
"114","Power","SEL-13-23"
"115","William/Brink","SEL-13-26"
"116","Long","SEL-15-01"
"117","Wannock[Owikeno]","SEL-15-04"
"118","Ain/Skundale/Ian","SEL-17-01"
"119","Awun","SEL-17-02"
"120","Jalun","SEL-17-04"
"121","Mathers","SEL-17-06"
"122","Mercer","SEL-17-07"
"123","Skidegate","SEL-17-08"
"124","Marie","SEL-17-10"
"125","Kainet Creek","SEL-18-05"
"126","Kitkiata","SEL-18-07"
"127","Banks","SEL-19-01"
"128","Bloomfield","SEL-19-02"
"129","Bonilla","SEL-19-04"
"130","Tuwartz","SEL-19-09"
"131","Freeda/Brodie","SEL-19-20"
"132","Kdelmashan Creek","SEL-19-25"
"133","Keecha","SEL-19-26"
"134","Kisameet","SEL-19-32"
"135","Kooryet","SEL-19-34"
"136","Limestone Creek","SEL-19-38"
"137","Mikado","SEL-19-43"
"138","Namu","SEL-19-45"
"139","Powles Creek","SEL-19-47"
"140","Prudhomme","SEL-19-49"
"141","Ryan Creek","SEL-19-51"
"142","Salter","SEL-19-52"
"143","Scoular/Kilpatrick","SEL-19-53"
"144","Shawatlan","SEL-19-54"
"145","Tankeeah River","SEL-19-60"
"146","Tsimtack/Lakes","SEL-19-62"
"147","Wale Creek","SEL-19-66"
"148","Yeo","SEL-19-70"
"149","Johnston","SEL-20-05"
"150","Lakelse","SEL-20-07"
"151","Atna","SEL-21-01"
"152","Bulkley","SEL-21-03"
"153","Kitwancool","SEL-21-05"
"154","Maxan","SEL-21-06"
"155","Morice","SEL-21-07"
"156","Stephens","SEL-21-09"
"157","Footsore/Hodder","SEL-21-12"
"158","Asitika","SEL-22-01"
"159","Bear","SEL-22-03"
"160","Johanson","SEL-22-05"
"161","Kluatantan","SEL-22-06"
"162","Motase","SEL-22-08"
"163","Spawning","SEL-22-11"
"164","Sustut","SEL-22-12"
"165","Oweegee","SEL-24-06"
"166","Christina","SEL-26-01"
"167","Kuthai","SEL-28-01"
"168","King Salmon","SEL-28-05"
"169","Blanchard","SEL-30-01"
"170","Klukshu","SEL-30-02"
"171","Neskatahin","SEL-30-03"
